Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,641.95,2024-01-05 05:30:00,651.75,637.75,2024-01,645.0,15984585,2024-01-05,2024-01
BAJFINANCE,7711.15,2024-01-05 05:30:00,7789.0,7673.1,2024-01,7734.95,1052601,2024-01-05,2024-01
TITAN,3712.55,2024-01-05 05:30:00,3750.0,3687.25,2024-01,3719.7,963628,2024-01-05,2024-01
ITC,473.95,2024-01-05 05:30:00,479.4,472.0,2024-01,479.4,9209405,2024-01-05,2024-01
TCS,3737.9,2024-01-05 05:30:00,3747.75,3674.85,2024-01,3675.0,1963127,2024-01-05,2024-01
LT,3521.9,2024-01-05 05:30:00,3555.0,3460.0,2024-01,3464.95,2069018,2024-01-05,2024-01
TATACONSUM,1109.16,2024-01-05 05:30:00,1117.26,1103.34,2024-01,1111.19,1192335,2024-01-05,2024-01
RELIANCE,1303.85,2024-01-05 05:30:00,1309.93,1299.0,2024-01,1301.45,8086406,2024-01-05,2024-01
HCLTECH,1432.8,2024-01-05 05:30:00,1438.85,1421.9,2024-01,1425.0,1776925,2024-01-05,2024-01
JSWSTEEL,829.4,2024-01-05 05:30:00,845.8,827.2,2024-01,838.95,2060548,2024-01-05,2024-01
ULTRACEMCO,10016.0,2024-01-05 05:30:00,10100.0,9995.0,2024-01,10100.0,163191,2024-01-05,2024-01
POWERGRID,241.25,2024-01-05 05:30:00,245.0,239.3,2024-01,242.0,16345257,2024-01-05,2024-01
INFY,1532.55,2024-01-05 05:30:00,1539.7,1506.25,2024-01,1506.75,8895403,2024-01-05,2024-01
TRENT,3065.55,2024-01-05 05:30:00,3096.55,3045.0,2024-01,3085.45,258565,2024-01-05,2024-01
BHARTIARTL,1046.6,2024-01-05 05:30:00,1063.65,1038.95,2024-01,1053.8,4008221,2024-01-05,2024-01
TATAMOTORS,790.95,2024-01-05 05:30:00,805.9,787.1,2024-01,799.0,11091198,2024-01-05,2024-01
WIPRO,456.6,2024-01-05 05:30:00,463.0,453.5,2024-01,455.05,8444565,2024-01-05,2024-01
TECHM,1248.3,2024-01-05 05:30:00,1271.85,1245.55,2024-01,1254.9,1756868,2024-01-05,2024-01
NTPC,314.95,2024-01-05 05:30:00,325.65,312.7,2024-01,322.9,27456415,2024-01-05,2024-01
HINDUNILVR,2620.05,2024-01-05 05:30:00,2629.9,2595.0,2024-01,2595.0,1150738,2024-01-05,2024-01
APOLLOHOSP,5754.25,2024-01-05 05:30:00,5808.8,5715.0,2024-01,5762.2,144894,2024-01-05,2024-01
M&M,1642.0,2024-01-05 05:30:00,1661.5,1636.5,2024-01,1647.95,1709313,2024-01-05,2024-01
GRASIM,2071.27,2024-01-05 05:30:00,2090.69,2045.42,2024-01,2089.69,1080483,2024-01-05,2024-01
ICICIBANK,993.7,2024-01-05 05:30:00,998.3,983.8,2024-01,988.0,14875499,2024-01-05,2024-01
ADANIENT,3006.6,2024-01-05 05:30:00,3066.9,2981.1,2024-01,3009.95,3219949,2024-01-05,2024-01
ADANIPORTS,1154.25,2024-01-05 05:30:00,1160.0,1125.4,2024-01,1129.1,10622789,2024-01-05,2024-01
BEL,185.95,2024-01-05 05:30:00,188.65,184.05,2024-01,187.7,22023938,2024-01-05,2024-01
BAJAJFINSV,1709.5,2024-01-05 05:30:00,1717.1,1697.65,2024-01,1702.95,835592,2024-01-05,2024-01
EICHERMOT,3877.05,2024-01-05 05:30:00,3918.7,3860.0,2024-01,3864.05,402103,2024-01-05,2024-01
COALINDIA,384.25,2024-01-05 05:30:00,388.5,382.5,2024-01,386.8,8369460,2024-01-05,2024-01
MARUTI,10017.0,2024-01-05 05:30:00,10075.0,9970.0,2024-01,10010.7,673131,2024-01-05,2024-01
INDUSINDBK,1643.2,2024-01-05 05:30:00,1654.0,1629.0,2024-01,1654.0,2294140,2024-01-05,2024-01
ASIANPAINT,3355.55,2024-01-05 05:30:00,3380.4,3348.0,2024-01,3379.95,416956,2024-01-05,2024-01
TATASTEEL,133.65,2024-01-05 05:30:00,135.95,132.85,2024-01,135.0,71330190,2024-01-05,2024-01
HDFCLIFE,646.75,2024-01-05 05:30:00,654.55,642.45,2024-01,648.5,1394951,2024-01-05,2024-01
DRREDDY,1167.13,2024-01-05 05:30:00,1174.91,1161.3,2024-01,1174.0,1037255,2024-01-05,2024-01
SUNPHARMA,1300.2,2024-01-05 05:30:00,1318.0,1287.0,2024-01,1318.0,2960339,2024-01-05,2024-01
KOTAKBANK,1847.6,2024-01-05 05:30:00,1869.9,1841.4,2024-01,1865.5,7799341,2024-01-05,2024-01
SHRIRAMFIN,2172.4,2024-01-05 05:30:00,2176.75,2119.45,2024-01,2153.0,1622887,2024-01-05,2024-01
NESTLEIND,2666.4,2024-01-05 05:30:00,2754.0,2642.45,2024-01,2754.0,2577064,2024-01-05,2024-01
ONGC,216.45,2024-01-05 05:30:00,217.5,213.05,2024-01,215.45,20743811,2024-01-05,2024-01
CIPLA,1286.9,2024-01-05 05:30:00,1301.55,1276.15,2024-01,1300.0,1013196,2024-01-05,2024-01
BPCL,226.55,2024-01-05 05:30:00,229.83,225.63,2024-01,227.95,8080468,2024-01-05,2024-01
BRITANNIA,5272.35,2024-01-05 05:30:00,5363.35,5256.0,2024-01,5361.3,299017,2024-01-05,2024-01
SBILIFE,1454.15,2024-01-05 05:30:00,1468.0,1433.7,2024-01,1435.9,1258280,2024-01-05,2024-01
HINDALCO,587.0,2024-01-05 05:30:00,597.6,581.55,2024-01,590.6,2990123,2024-01-05,2024-01
HEROMOTOCO,3990.3,2024-01-05 05:30:00,4037.0,3953.75,2024-01,3960.0,593042,2024-01-05,2024-01
AXISBANK,1136.95,2024-01-05 05:30:00,1139.9,1119.0,2024-01,1124.0,8025466,2024-01-05,2024-01
HDFCBANK,1682.2,2024-01-05 05:30:00,1704.9,1668.1,2024-01,1687.15,15944735,2024-01-05,2024-01
BAJAJ-AUTO,6978.5,2024-01-05 05:30:00,7084.0,6920.5,2024-01,6950.0,659306,2024-01-05,2024-01
