Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,808.65,2024-11-13 05:30:00,831.75,804.65,2024-11,823.35,13756706,2024-11-13,2024-11
BAJFINANCE,6566.0,2024-11-13 05:30:00,6702.25,6526.6,2024-11,6635.0,867347,2024-11-13,2024-11
TITAN,3187.85,2024-11-13 05:30:00,3221.6,3162.2,2024-11,3175.0,911537,2024-11-13,2024-11
ITC,472.2,2024-11-13 05:30:00,474.7,468.25,2024-11,470.05,11120381,2024-11-13,2024-11
TCS,4150.35,2024-11-13 05:30:00,4196.75,4131.05,2024-11,4178.1,1098813,2024-11-13,2024-11
LT,3547.95,2024-11-13 05:30:00,3604.85,3535.65,2024-11,3585.0,1568694,2024-11-13,2024-11
TATACONSUM,952.75,2024-11-13 05:30:00,969.95,950.0,2024-11,965.0,948691,2024-11-13,2024-11
RELIANCE,1252.05,2024-11-13 05:30:00,1275.45,1249.5,2024-11,1270.25,14633633,2024-11-13,2024-11
HCLTECH,1864.75,2024-11-13 05:30:00,1879.6,1859.1,2024-11,1866.0,1254074,2024-11-13,2024-11
JSWSTEEL,935.95,2024-11-13 05:30:00,958.25,928.05,2024-11,953.5,1167594,2024-11-13,2024-11
ULTRACEMCO,10782.2,2024-11-13 05:30:00,10873.5,10750.0,2024-11,10803.3,216900,2024-11-13,2024-11
POWERGRID,318.0,2024-11-13 05:30:00,324.6,317.15,2024-11,322.65,12918639,2024-11-13,2024-11
INFY,1868.4,2024-11-13 05:30:00,1873.2,1856.3,2024-11,1861.1,4257495,2024-11-13,2024-11
TRENT,6498.25,2024-11-13 05:30:00,6619.7,6412.45,2024-11,6499.0,758642,2024-11-13,2024-11
BHARTIARTL,1550.45,2024-11-13 05:30:00,1572.5,1546.35,2024-11,1559.9,5816699,2024-11-13,2024-11
TATAMOTORS,786.25,2024-11-13 05:30:00,792.65,775.55,2024-11,787.0,14674022,2024-11-13,2024-11
WIPRO,569.0,2024-11-13 05:30:00,573.6,565.55,2024-11,570.0,5695600,2024-11-13,2024-11
TECHM,1675.6,2024-11-13 05:30:00,1689.0,1663.65,2024-11,1680.0,1063556,2024-11-13,2024-11
NTPC,381.35,2024-11-13 05:30:00,387.6,379.35,2024-11,384.0,20602407,2024-11-13,2024-11
HINDUNILVR,2464.95,2024-11-13 05:30:00,2472.8,2450.4,2024-11,2462.1,1262017,2024-11-13,2024-11
APOLLOHOSP,6858.85,2024-11-13 05:30:00,6998.2,6830.45,2024-11,6970.0,299775,2024-11-13,2024-11
M&M,2798.95,2024-11-13 05:30:00,2895.0,2782.9,2024-11,2876.0,3949602,2024-11-13,2024-11
GRASIM,2502.9,2024-11-13 05:30:00,2534.65,2472.05,2024-11,2521.2,1449201,2024-11-13,2024-11
ICICIBANK,1253.7,2024-11-13 05:30:00,1276.25,1250.0,2024-11,1270.6,12260404,2024-11-13,2024-11
ADANIENT,2816.7,2024-11-13 05:30:00,2889.0,2808.0,2024-11,2860.0,890146,2024-11-13,2024-11
ADANIPORTS,1287.9,2024-11-13 05:30:00,1329.25,1284.85,2024-11,1322.0,1437072,2024-11-13,2024-11
BEL,281.55,2024-11-13 05:30:00,288.85,279.45,2024-11,288.0,20001842,2024-11-13,2024-11
BAJAJFINSV,1664.45,2024-11-13 05:30:00,1695.95,1657.45,2024-11,1690.0,668302,2024-11-13,2024-11
EICHERMOT,4588.7,2024-11-13 05:30:00,4719.95,4536.05,2024-11,4700.0,656931,2024-11-13,2024-11
COALINDIA,406.9,2024-11-13 05:30:00,415.5,405.7,2024-11,414.0,7170870,2024-11-13,2024-11
MARUTI,11049.6,2024-11-13 05:30:00,11142.85,10864.3,2024-11,11140.0,507710,2024-11-13,2024-11
INDUSINDBK,1036.7,2024-11-13 05:30:00,1067.8,1032.2,2024-11,1053.8,4850346,2024-11-13,2024-11
ASIANPAINT,2470.5,2024-11-13 05:30:00,2498.0,2451.1,2024-11,2470.0,1803849,2024-11-13,2024-11
TATASTEEL,139.17,2024-11-13 05:30:00,143.6,138.6,2024-11,143.6,57609083,2024-11-13,2024-11
HDFCLIFE,685.05,2024-11-13 05:30:00,698.85,683.15,2024-11,695.0,2080391,2024-11-13,2024-11
DRREDDY,1245.0,2024-11-13 05:30:00,1265.05,1238.3,2024-11,1258.0,995217,2024-11-13,2024-11
SUNPHARMA,1779.0,2024-11-13 05:30:00,1797.3,1770.45,2024-11,1791.0,1810332,2024-11-13,2024-11
KOTAKBANK,1687.85,2024-11-13 05:30:00,1728.15,1679.05,2024-11,1714.0,3593490,2024-11-13,2024-11
SHRIRAMFIN,2853.85,2024-11-13 05:30:00,2930.5,2839.25,2024-11,2930.5,1351101,2024-11-13,2024-11
NESTLEIND,2235.25,2024-11-13 05:30:00,2251.95,2222.0,2024-11,2241.25,763388,2024-11-13,2024-11
ONGC,252.55,2024-11-13 05:30:00,256.95,249.0,2024-11,256.15,17483332,2024-11-13,2024-11
CIPLA,1505.6,2024-11-13 05:30:00,1525.9,1501.2,2024-11,1516.5,1552443,2024-11-13,2024-11
BPCL,305.85,2024-11-13 05:30:00,309.0,302.0,2024-11,307.95,7306795,2024-11-13,2024-11
BRITANNIA,5046.5,2024-11-13 05:30:00,5087.6,4938.45,2024-11,5009.0,928244,2024-11-13,2024-11
SBILIFE,1546.7,2024-11-13 05:30:00,1572.0,1540.0,2024-11,1560.0,2946117,2024-11-13,2024-11
HINDALCO,626.6,2024-11-13 05:30:00,649.9,622.55,2024-11,648.0,7867492,2024-11-13,2024-11
HEROMOTOCO,4519.6,2024-11-13 05:30:00,4696.75,4492.0,2024-11,4691.65,1304908,2024-11-13,2024-11
AXISBANK,1139.15,2024-11-13 05:30:00,1165.5,1135.1,2024-11,1151.9,8079113,2024-11-13,2024-11
HDFCBANK,1681.35,2024-11-13 05:30:00,1729.4,1673.0,2024-11,1716.75,17864250,2024-11-13,2024-11
BAJAJ-AUTO,9452.15,2024-11-13 05:30:00,9710.0,9416.1,2024-11,9678.7,494123,2024-11-13,2024-11
