Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,835.55,2024-06-11 05:30:00,839.6,829.05,2024-06,836.0,14754408,2024-06-11,2024-06
BAJFINANCE,7138.1,2024-06-11 05:30:00,7169.0,7051.0,2024-06,7083.0,1205213,2024-06-11,2024-06
TITAN,3410.7,2024-06-11 05:30:00,3438.3,3401.9,2024-06,3418.2,1086157,2024-06-11,2024-06
ITC,433.0,2024-06-11 05:30:00,437.8,432.25,2024-06,437.0,12670589,2024-06-11,2024-06
TCS,3852.1,2024-06-11 05:30:00,3879.95,3841.0,2024-06,3845.0,1419898,2024-06-11,2024-06
LT,3598.7,2024-06-11 05:30:00,3639.0,3551.2,2024-06,3570.0,2548176,2024-06-11,2024-06
TATACONSUM,1121.66,2024-06-11 05:30:00,1130.75,1112.87,2024-06,1119.14,795130,2024-06-11,2024-06
RELIANCE,1456.68,2024-06-11 05:30:00,1473.68,1454.68,2024-06,1469.0,11774902,2024-06-11,2024-06
HCLTECH,1428.8,2024-06-11 05:30:00,1437.95,1415.4,2024-06,1425.0,2269082,2024-06-11,2024-06
JSWSTEEL,910.1,2024-06-11 05:30:00,918.8,905.05,2024-06,915.95,2003998,2024-06-11,2024-06
ULTRACEMCO,10933.55,2024-06-11 05:30:00,10989.0,10826.25,2024-06,10903.95,650137,2024-06-11,2024-06
POWERGRID,316.55,2024-06-11 05:30:00,319.7,315.15,2024-06,316.2,12238518,2024-06-11,2024-06
INFY,1495.75,2024-06-11 05:30:00,1506.45,1493.95,2024-06,1500.05,4853054,2024-06-11,2024-06
TRENT,4906.6,2024-06-11 05:30:00,5010.0,4884.7,2024-06,5009.0,512441,2024-06-11,2024-06
BHARTIARTL,1427.25,2024-06-11 05:30:00,1434.6,1413.0,2024-06,1426.0,4416792,2024-06-11,2024-06
TATAMOTORS,987.1,2024-06-11 05:30:00,992.55,966.65,2024-06,973.8,14828702,2024-06-11,2024-06
WIPRO,476.05,2024-06-11 05:30:00,479.2,474.35,2024-06,479.2,4685857,2024-06-11,2024-06
TECHM,1349.45,2024-06-11 05:30:00,1359.85,1341.15,2024-06,1348.9,1465705,2024-06-11,2024-06
NTPC,367.4,2024-06-11 05:30:00,371.95,364.9,2024-06,368.75,11235777,2024-06-11,2024-06
HINDUNILVR,2556.35,2024-06-11 05:30:00,2576.7,2551.3,2024-06,2566.0,1402423,2024-06-11,2024-06
APOLLOHOSP,6107.95,2024-06-11 05:30:00,6167.25,6059.2,2024-06,6081.75,521348,2024-06-11,2024-06
M&M,2835.55,2024-06-11 05:30:00,2855.0,2813.4,2024-06,2821.0,2298974,2024-06-11,2024-06
GRASIM,2456.9,2024-06-11 05:30:00,2482.0,2426.35,2024-06,2449.9,531924,2024-06-11,2024-06
ICICIBANK,1118.2,2024-06-11 05:30:00,1129.05,1111.0,2024-06,1119.75,12250002,2024-06-11,2024-06
ADANIENT,3221.25,2024-06-11 05:30:00,3265.0,3195.05,2024-06,3224.0,4173692,2024-06-11,2024-06
ADANIPORTS,1403.45,2024-06-11 05:30:00,1418.8,1384.05,2024-06,1391.0,4122878,2024-06-11,2024-06
BEL,286.2,2024-06-11 05:30:00,290.5,285.35,2024-06,287.0,32269277,2024-06-11,2024-06
BAJAJFINSV,1568.25,2024-06-11 05:30:00,1577.4,1558.0,2024-06,1573.0,1184425,2024-06-11,2024-06
EICHERMOT,4758.65,2024-06-11 05:30:00,4811.95,4744.05,2024-06,4810.0,733966,2024-06-11,2024-06
COALINDIA,476.35,2024-06-11 05:30:00,483.5,475.2,2024-06,482.0,11169021,2024-06-11,2024-06
MARUTI,12863.65,2024-06-11 05:30:00,12939.55,12655.2,2024-06,12743.5,358807,2024-06-11,2024-06
INDUSINDBK,1481.05,2024-06-11 05:30:00,1491.0,1475.2,2024-06,1485.0,1737873,2024-06-11,2024-06
ASIANPAINT,2902.45,2024-06-11 05:30:00,2920.35,2895.0,2024-06,2915.0,855430,2024-06-11,2024-06
TATASTEEL,181.33,2024-06-11 05:30:00,183.75,180.5,2024-06,180.5,55555544,2024-06-11,2024-06
HDFCLIFE,571.7,2024-06-11 05:30:00,576.9,566.2,2024-06,571.5,6417670,2024-06-11,2024-06
DRREDDY,1207.85,2024-06-11 05:30:00,1220.05,1205.6,2024-06,1217.0,2581810,2024-06-11,2024-06
SUNPHARMA,1499.75,2024-06-11 05:30:00,1525.0,1497.35,2024-06,1524.0,1441589,2024-06-11,2024-06
KOTAKBANK,1720.0,2024-06-11 05:30:00,1747.2,1717.1,2024-06,1746.6,4105647,2024-06-11,2024-06
SHRIRAMFIN,2533.0,2024-06-11 05:30:00,2552.05,2490.0,2024-06,2514.95,936270,2024-06-11,2024-06
NESTLEIND,2541.95,2024-06-11 05:30:00,2575.0,2534.0,2024-06,2560.0,569411,2024-06-11,2024-06
