Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,843.15,2024-11-08 05:30:00,863.5,834.2,2024-11,859.6,26139105,2024-11-08,2024-11
BAJFINANCE,6895.95,2024-11-08 05:30:00,6951.55,6841.0,2024-11,6904.5,424840,2024-11-08,2024-11
TITAN,3186.25,2024-11-08 05:30:00,3192.9,3106.0,2024-11,3121.0,1719882,2024-11-08,2024-11
ITC,478.05,2024-11-08 05:30:00,480.7,474.6,2024-11,477.9,6090462,2024-11-08,2024-11
TCS,4147.0,2024-11-08 05:30:00,4169.75,4117.65,2024-11,4155.0,1648039,2024-11-08,2024-11
LT,3660.3,2024-11-08 05:30:00,3667.0,3620.65,2024-11,3640.4,1622142,2024-11-08,2024-11
TATACONSUM,992.95,2024-11-08 05:30:00,997.3,975.4,2024-11,989.0,973252,2024-11-08,2024-11
RELIANCE,1283.75,2024-11-08 05:30:00,1301.65,1275.0,2024-11,1297.65,19814406,2024-11-08,2024-11
HCLTECH,1837.5,2024-11-08 05:30:00,1854.15,1828.05,2024-11,1838.95,1521324,2024-11-08,2024-11
JSWSTEEL,996.4,2024-11-08 05:30:00,1001.55,976.5,2024-11,994.0,3568198,2024-11-08,2024-11
ULTRACEMCO,11043.35,2024-11-08 05:30:00,11139.35,10960.7,2024-11,11029.1,155894,2024-11-08,2024-11
POWERGRID,316.25,2024-11-08 05:30:00,317.55,308.7,2024-11,311.85,15740539,2024-11-08,2024-11
INFY,1829.95,2024-11-08 05:30:00,1840.6,1813.15,2024-11,1818.0,4210960,2024-11-08,2024-11
TRENT,6298.95,2024-11-08 05:30:00,6563.15,6270.0,2024-11,6550.0,2523322,2024-11-08,2024-11
BHARTIARTL,1569.9,2024-11-08 05:30:00,1579.5,1558.85,2024-11,1571.0,3096384,2024-11-08,2024-11
TATAMOTORS,805.45,2024-11-08 05:30:00,822.0,801.1,2024-11,821.95,16072692,2024-11-08,2024-11
WIPRO,569.0,2024-11-08 05:30:00,578.8,565.0,2024-11,565.0,10426329,2024-11-08,2024-11
TECHM,1681.35,2024-11-08 05:30:00,1686.45,1650.05,2024-11,1660.0,1883257,2024-11-08,2024-11
NTPC,397.65,2024-11-08 05:30:00,404.2,395.55,2024-11,403.15,7536509,2024-11-08,2024-11
HINDUNILVR,2507.7,2024-11-08 05:30:00,2515.25,2467.3,2024-11,2483.95,1700877,2024-11-08,2024-11
APOLLOHOSP,7421.4,2024-11-08 05:30:00,7545.0,7380.0,2024-11,7390.05,1032481,2024-11-08,2024-11
M&M,2974.9,2024-11-08 05:30:00,2990.95,2851.25,2024-11,2910.0,4455563,2024-11-08,2024-11
GRASIM,2544.85,2024-11-08 05:30:00,2581.7,2540.0,2024-11,2565.0,558297,2024-11-08,2024-11
ICICIBANK,1258.85,2024-11-08 05:30:00,1275.0,1252.7,2024-11,1270.0,11195808,2024-11-08,2024-11
ADANIENT,2929.1,2024-11-08 05:30:00,2995.0,2911.25,2024-11,2965.1,835641,2024-11-08,2024-11
ADANIPORTS,1362.1,2024-11-08 05:30:00,1367.3,1338.6,2024-11,1353.1,1400491,2024-11-08,2024-11
BEL,297.75,2024-11-08 05:30:00,304.5,295.75,2024-11,300.35,22935845,2024-11-08,2024-11
BAJAJFINSV,1739.75,2024-11-08 05:30:00,1743.5,1717.0,2024-11,1739.0,869560,2024-11-08,2024-11
EICHERMOT,4785.25,2024-11-08 05:30:00,4877.95,4755.35,2024-11,4875.0,194765,2024-11-08,2024-11
COALINDIA,424.05,2024-11-08 05:30:00,436.0,421.25,2024-11,435.35,9934413,2024-11-08,2024-11
MARUTI,11303.0,2024-11-08 05:30:00,11344.0,11125.6,2024-11,11260.5,269993,2024-11-08,2024-11
INDUSINDBK,1053.8,2024-11-08 05:30:00,1061.45,1048.05,2024-11,1061.45,2107903,2024-11-08,2024-11
ASIANPAINT,2769.45,2024-11-08 05:30:00,2847.0,2762.4,2024-11,2842.85,2060486,2024-11-08,2024-11
TATASTEEL,147.57,2024-11-08 05:30:00,152.0,146.94,2024-11,152.0,61980989,2024-11-08,2024-11
HDFCLIFE,708.5,2024-11-08 05:30:00,719.85,707.0,2024-11,709.5,1272302,2024-11-08,2024-11
DRREDDY,1283.65,2024-11-08 05:30:00,1293.0,1259.15,2024-11,1292.8,1328199,2024-11-08,2024-11
SUNPHARMA,1809.6,2024-11-08 05:30:00,1815.05,1790.95,2024-11,1799.8,1644075,2024-11-08,2024-11
KOTAKBANK,1745.8,2024-11-08 05:30:00,1764.1,1738.9,2024-11,1745.0,3646825,2024-11-08,2024-11
SHRIRAMFIN,3007.95,2024-11-08 05:30:00,3085.0,2997.05,2024-11,3085.0,770349,2024-11-08,2024-11
NESTLEIND,2295.65,2024-11-08 05:30:00,2298.0,2258.8,2024-11,2270.0,834995,2024-11-08,2024-11
ONGC,262.55,2024-11-08 05:30:00,266.5,259.65,2024-11,265.95,7836093,2024-11-08,2024-11
CIPLA,1592.6,2024-11-08 05:30:00,1597.75,1568.7,2024-11,1575.1,1718495,2024-11-08,2024-11
BPCL,310.45,2024-11-08 05:30:00,315.1,306.8,2024-11,315.0,9304376,2024-11-08,2024-11
BRITANNIA,5747.15,2024-11-08 05:30:00,5792.85,5641.55,2024-11,5682.2,306281,2024-11-08,2024-11
SBILIFE,1569.95,2024-11-08 05:30:00,1603.35,1566.85,2024-11,1589.0,1131938,2024-11-08,2024-11
HINDALCO,650.45,2024-11-08 05:30:00,660.45,647.0,2024-11,654.75,7886228,2024-11-08,2024-11
HEROMOTOCO,4768.9,2024-11-08 05:30:00,4832.0,4735.95,2024-11,4830.0,333494,2024-11-08,2024-11
AXISBANK,1160.95,2024-11-08 05:30:00,1167.75,1151.1,2024-11,1156.0,3786168,2024-11-08,2024-11
HDFCBANK,1754.45,2024-11-08 05:30:00,1761.8,1745.85,2024-11,1752.0,9951493,2024-11-08,2024-11
BAJAJ-AUTO,9910.4,2024-11-08 05:30:00,9991.05,9777.25,2024-11,9856.65,273163,2024-11-08,2024-11
