Ticker,close,date,high,low,month,open,volume,Date,Month
SBIN,816.05,2024-11-22 05:30:00,819.95,784.05,2024-11,786.0,20665405,2024-11-22,2024-11
BAJFINANCE,6683.95,2024-11-22 05:30:00,6722.4,6456.05,2024-11,6470.0,969855,2024-11-22,2024-11
TITAN,3308.7,2024-11-22 05:30:00,3317.0,3152.15,2024-11,3174.85,2207527,2024-11-22,2024-11
ITC,474.65,2024-11-22 05:30:00,476.5,455.5,2024-11,456.2,19464568,2024-11-22,2024-11
TCS,4244.6,2024-11-22 05:30:00,4254.95,4054.0,2024-11,4071.0,3096553,2024-11-22,2024-11
LT,3603.5,2024-11-22 05:30:00,3613.5,3473.1,2024-11,3500.0,2534018,2024-11-22,2024-11
TATACONSUM,945.2,2024-11-22 05:30:00,948.5,912.85,2024-11,916.25,1427895,2024-11-22,2024-11
RELIANCE,1265.4,2024-11-22 05:30:00,1268.85,1222.45,2024-11,1229.4,20471957,2024-11-22,2024-11
HCLTECH,1898.4,2024-11-22 05:30:00,1902.0,1836.5,2024-11,1846.35,2765950,2024-11-22,2024-11
JSWSTEEL,977.35,2024-11-22 05:30:00,981.3,939.05,2024-11,947.9,1889389,2024-11-22,2024-11
ULTRACEMCO,11375.3,2024-11-22 05:30:00,11409.9,10931.65,2024-11,10999.0,328426,2024-11-22,2024-11
POWERGRID,336.95,2024-11-22 05:30:00,337.6,324.0,2024-11,325.8,31523269,2024-11-22,2024-11
INFY,1902.25,2024-11-22 05:30:00,1914.05,1834.0,2024-11,1854.1,6301486,2024-11-22,2024-11
TRENT,6652.8,2024-11-22 05:30:00,6678.0,6430.0,2024-11,6459.9,833104,2024-11-22,2024-11
BHARTIARTL,1569.3,2024-11-22 05:30:00,1575.0,1520.2,2024-11,1533.0,7640321,2024-11-22,2024-11
TATAMOTORS,791.0,2024-11-22 05:30:00,794.0,775.0,2024-11,775.0,14535112,2024-11-22,2024-11
WIPRO,571.65,2024-11-22 05:30:00,573.6,557.9,2024-11,561.95,7366616,2024-11-22,2024-11
TECHM,1747.45,2024-11-22 05:30:00,1749.85,1702.25,2024-11,1714.75,2344087,2024-11-22,2024-11
NTPC,365.45,2024-11-22 05:30:00,367.1,355.7,2024-11,357.05,15949254,2024-11-22,2024-11
HINDUNILVR,2445.25,2024-11-22 05:30:00,2452.1,2377.85,2024-11,2390.95,1696471,2024-11-22,2024-11
APOLLOHOSP,6935.1,2024-11-22 05:30:00,6950.3,6751.6,2024-11,6751.6,498633,2024-11-22,2024-11
M&M,3012.95,2024-11-22 05:30:00,3063.5,2896.7,2024-11,2944.0,4827125,2024-11-22,2024-11
GRASIM,2598.65,2024-11-22 05:30:00,2609.9,2534.85,2024-11,2540.4,828921,2024-11-22,2024-11
ICICIBANK,1278.05,2024-11-22 05:30:00,1281.4,1256.0,2024-11,1258.0,11604338,2024-11-22,2024-11
ADANIENT,2228.0,2024-11-22 05:30:00,2289.7,2025.0,2024-11,2101.0,20939196,2024-11-22,2024-11
ADANIPORTS,1136.75,2024-11-22 05:30:00,1155.9,1054.0,2024-11,1072.6,27086168,2024-11-22,2024-11
BEL,280.85,2024-11-22 05:30:00,283.5,275.5,2024-11,276.0,13268900,2024-11-22,2024-11
BAJAJFINSV,1600.85,2024-11-22 05:30:00,1606.0,1562.05,2024-11,1569.95,2082813,2024-11-22,2024-11
EICHERMOT,4986.2,2024-11-22 05:30:00,5005.0,4882.0,2024-11,4913.0,339941,2024-11-22,2024-11
COALINDIA,414.05,2024-11-22 05:30:00,415.75,406.4,2024-11,407.4,8155453,2024-11-22,2024-11
MARUTI,11063.6,2024-11-22 05:30:00,11106.65,10827.25,2024-11,10905.0,493678,2024-11-22,2024-11
INDUSINDBK,998.2,2024-11-22 05:30:00,1002.45,981.4,2024-11,986.0,4026863,2024-11-22,2024-11
ASIANPAINT,2472.2,2024-11-22 05:30:00,2493.95,2422.95,2024-11,2430.0,3805854,2024-11-22,2024-11
TATASTEEL,142.78,2024-11-22 05:30:00,143.19,139.65,2024-11,140.15,43710169,2024-11-22,2024-11
HDFCLIFE,688.2,2024-11-22 05:30:00,691.3,674.15,2024-11,680.0,1788502,2024-11-22,2024-11
DRREDDY,1214.45,2024-11-22 05:30:00,1223.2,1193.6,2024-11,1199.0,763755,2024-11-22,2024-11
SUNPHARMA,1795.3,2024-11-22 05:30:00,1814.95,1768.05,2024-11,1785.0,1420813,2024-11-22,2024-11
KOTAKBANK,1761.45,2024-11-22 05:30:00,1772.2,1732.9,2024-11,1734.0,3553726,2024-11-22,2024-11
SHRIRAMFIN,2850.05,2024-11-22 05:30:00,2865.0,2745.55,2024-11,2750.0,1638998,2024-11-22,2024-11
NESTLEIND,2247.3,2024-11-22 05:30:00,2252.85,2204.2,2024-11,2214.2,771958,2024-11-22,2024-11
ONGC,245.6,2024-11-22 05:30:00,246.95,243.5,2024-11,244.8,9637581,2024-11-22,2024-11
CIPLA,1486.5,2024-11-22 05:30:00,1496.15,1460.05,2024-11,1466.0,704859,2024-11-22,2024-11
BPCL,285.85,2024-11-22 05:30:00,287.0,281.05,2024-11,282.6,6539977,2024-11-22,2024-11
BRITANNIA,4848.35,2024-11-22 05:30:00,4871.0,4765.6,2024-11,4789.05,410476,2024-11-22,2024-11
SBILIFE,1485.15,2024-11-22 05:30:00,1496.45,1475.0,2024-11,1485.35,977581,2024-11-22,2024-11
HINDALCO,652.1,2024-11-22 05:30:00,657.3,647.4,2024-11,652.95,3586402,2024-11-22,2024-11
HEROMOTOCO,4794.1,2024-11-22 05:30:00,4808.4,4742.0,2024-11,4778.4,394712,2024-11-22,2024-11
AXISBANK,1142.4,2024-11-22 05:30:00,1147.9,1127.55,2024-11,1136.65,16687505,2024-11-22,2024-11
HDFCBANK,1745.6,2024-11-22 05:30:00,1754.3,1729.55,2024-11,1743.55,12386806,2024-11-22,2024-11
BAJAJ-AUTO,9481.65,2024-11-22 05:30:00,9602.9,9444.1,2024-11,9545.0,619823,2024-11-22,2024-11
